dcterms:identifier,dcterms:extent,dcterms:title,dcterms:spatial
147,38.29,Portage Park,"4100 N Long Ave Chicago, IL 60641"
148,18.7,Shabbona Park,"6935 W Addison Chicago, IL 60634"
156,0.89,Jacob Park,"4674 N Virginia Ave Chicago, IL 60625"
157,0.23,Buffalo Park,"4500 N California Ave Chicago, IL 60625"
158,0.32,Sunken Gardens Park,"2634 W Sunnyside Ave Chicago, IL 60625"
159,0.83,Ravenswood Manor Park,"4626 N Manor Ave Chicago, IL 60625"
165,12.9,Indian Boundary Park,"2500 W Lunt Ave Chicago, IL 60645"
166,9.45,Pottawattomie Park,"7340 N Rogers Ave Chicago, IL 60626"
167,3.27,Chippewa Park,"6758 N Sacramento Ave Chicago, IL 60645"
168,0.52,Matanky Park,"6937 N Ridge Blvd Chicago, IL 60626"
175,9.82,Ridge Park,"9625 S Longwood Dr Chicago, IL 60643"
176,4.12,Cosme Park,"2100 W 91st St Chicago, IL 60620"
177,9.26,Brainerd Park,"1246 W 92nd St Chicago, IL 60620"
178,1.54,Hurley Park,"1901 W 100th St Chicago, IL 60643"
179,5.16,Graver Park,"1518 W 102nd Pl Chicago, IL 60643"
185,9.49,Revere Park,"2509 W Irving Park Rd Chicago, IL 60618"
186,29.6,River Park,"5100 N Francisco Ave Chicago, IL 60625"
187,5.72,Brands Park,"3285 N Elston Ave Chicago, IL 60618"
188,4.1,Green Briar Park,"2650 W Peterson Ave Chicago, IL 60659"
189,14.81,California Park,"3843 N California Ave Chicago, IL 60618"
195,4.65,Sauganash Park,"5861 N Kostner Ave Chicago, IL 60646"
201,18.8,La Follette Park,"1333 N Laramie Ave Chicago, IL 60651"
202,9.3,Franklin Park,"1449 S Kolin Ave Chicago, IL 60623"
203,3.28,Holstein Park,"2200 N Oakley Ave Chicago, IL 60647"
204,175.9,Garfield Park,"100 N Central Park Dr Chicago, IL 60624"
205,4.44,Sheridan Park,"910 S Aberdeen St Chicago, IL 60607"
206,4.32,Altgeld Park,"515 S Washtenaw Ave Chicago, IL 60612"
207,3.71,Austin Town Hall Park,"5610 W Lake St Chicago, IL 60644"
208,8.85,Eckhart Park,"1330 W Chicago Ave Chicago, IL 60622"
209,140.73,Columbus Park,"500 S Central Ave Chicago, IL 60644"
210,14.24,Union Park,"1501 W Randolph St Chicago, IL 60607"
211,5.85,Skinner Park,"1331 W  Monroe St Chicago, IL 60606"
212,1.36,Shedd Park,"3660 W 23rd St Chicago, IL 60623"
213,18.58,Harrison Park,"1824 S Wood St Chicago, IL 60608"
214,4.74,Wicker Park,"1425 N Damen Ave Chicago, IL 60622"
