schema:longitude,schema:latitude,schema:address,schema:name,schema:addressLocality,schema:name...18,schema:containedInPlace,schema:name...17,schema:identifier
-87.62312676792968,41.720247879401356,"49 E 95th St Chicago, IL 60628",Abbott Park - Baseball Jr/Softball 1,1870,Ward 9,2063,Abbott Park,Chicago_Park_Facility_5
-87.62232148122077,41.72026648719659,"49 E 95th St Chicago, IL 60628",Abbott Park - Baseball Jr/Softball 2,1870,Ward 9,2063,Abbott Park,Chicago_Park_Facility_6
-87.62113852820337,41.72027264083554,"49 E 95th St Chicago, IL 60628",Abbott Park - Baseball Jr/Softball 3,1870,Ward 9,2063,Abbott Park,Chicago_Park_Facility_7
-87.62115173060516,41.719484219015285,"49 E 95th St Chicago, IL 60628",Abbott Park - Baseball Sr 1,1870,Ward 9,2063,Abbott Park,Chicago_Park_Facility_13
-87.6230499261181,41.719465640893674,"49 E 95th St Chicago, IL 60628",Abbott Park - Baseball Sr 2,1870,Ward 9,2063,Abbott Park,Chicago_Park_Facility_14
-87.6231741233182,41.721155220396135,"49 E 95th St Chicago, IL 60628",Abbott Park - Basketball Backboard 1,1870,Ward 9,2063,Abbott Park,Chicago_Park_Facility_3200
-87.62308005593343,41.72104910093639,"49 E 95th St Chicago, IL 60628",Abbott Park - Basketball Backboard 2,1870,Ward 9,2063,Abbott Park,Chicago_Park_Facility_3201
-87.62316852764131,41.72094262227578,"49 E 95th St Chicago, IL 60628",Abbott Park - Basketball Backboard 3,1870,Ward 9,2063,Abbott Park,Chicago_Park_Facility_3202
-87.6232764829734,41.72104882838405,"49 E 95th St Chicago, IL 60628",Abbott Park - Basketball Backboard 4,1870,Ward 9,2063,Abbott Park,Chicago_Park_Facility_3203
-87.62246963482602,41.71855773474998,"49 E 95th St Chicago, IL 60628",Abbott Park - Basketball Backboard 5,1870,Ward 9,2063,Abbott Park,Chicago_Park_Facility_3204
-87.62220374789693,41.7185605491043,"49 E 95th St Chicago, IL 60628",Abbott Park - Basketball Backboard 6,1870,Ward 9,2063,Abbott Park,Chicago_Park_Facility_3205
-87.62220589453709,41.718365835897465,"49 E 95th St Chicago, IL 60628",Abbott Park - Basketball Backboard 7,1870,Ward 9,2063,Abbott Park,Chicago_Park_Facility_3206
