objectid,park_no,park,facility_n,facility_t,gisobjid,Park_Name,Park_Address,ward,schema:name,schema:identifier,Chicago_Park_ID,geometry,omeka_id_community_area,dcterms:isPartOf
2524,265,SCOTTSDALE,Playground,OUTDOOR,3952,Scottsdale Park,"4620 W 83rd Pl Chicago, IL 60652",Chicago_Ward_18,Scottsdale Park - Playground,Chicago_Park_Facility_2524,Chicago_Park_265,"c(438771.858734093, 4621379.03750421)",7372,7225
2525,1242,SENECA,Playground,OUTDOOR,3953,Seneca Park,"228 E Chicago Ave Chicago, IL 60611",Chicago_Ward_2,Seneca Park - Playground,Chicago_Park_Facility_2525,Chicago_Park_1242,"c(448370.03873237, 4638528.27156192)",7340,7262
2532,309,"SENKA (EDWARD ""DUKE"")",Playground,OUTDOOR,3960,Senka Park,"5656 S St Louis Ave Chicago, IL 60629",Chicago_Ward_14,Senka Park - Playground,Chicago_Park_Facility_2532,Chicago_Park_309,"c(440887.46881953, 4626901.52407658)",7364,7289
2541,227,SENN (NICHOLAS),Playground,OUTDOOR,3969,Senn Park,"5887 N Ridge Ave Chicago, IL 60660",Chicago_Ward_48,Senn Park - Playground,Chicago_Park_Facility_2541,Chicago_Park_227,"c(444656.015381283, 4648953.9995641)",7379,7237
2551,108,SEWARD (WILLIAM),Playground,OUTDOOR,3979,Seward Park,"375 W Elm St Chicago, IL 60610",Chicago_Ward_27,Seward Park - Playground,Chicago_Park_Facility_2551,Chicago_Park_108,"c(447005.69019736, 4639209.98053228)",7340,7301
2562,148,SHABBONA,Playground,OUTDOOR,3990,Shabbona Park,"6935 W Addison Chicago, IL 60634",Chicago_Ward_38,Shabbona Park - Playground,Chicago_Park_Facility_2562,Chicago_Park_148,"c(433754.149639808, 4643907.21468469)",7320,7258
2572,212,SHEDD (JOHN G.),Playground,OUTDOOR,4000,Shedd Park,"3660 W 23rd St Chicago, IL 60623",Chicago_Ward_22,Shedd Park - Playground,Chicago_Park_Facility_2572,Chicago_Park_212,"c(440524.639708453, 4633374.77458659)",7335,7211
2575,398,SHEIL (BERNARD) COMM. CTR.,Playground,OUTDOOR,4003,Sheil Community Center Park,"3505 N Southport Ave Chicago, IL 60657",Chicago_Ward_44,Sheil Community Center Park - Playground,Chicago_Park_Facility_2575,Chicago_Park_398,"c(444997.59924867, 4643939.74032302)",7348,7238
2585,205,SHERIDAN (PHILIP HENRY),Playground,OUTDOOR,4013,Sheridan Park,"910 S Aberdeen St Chicago, IL 60607",Chicago_Ward_25,Sheridan Park - Playground,Chicago_Park_Facility_2585,Chicago_Park_205,"c(445622.779617519, 4635601.96971586)",7332,7250
2602,7,SHERMAN (JOHN),Playground,OUTDOOR,4030,Sherman Park,"1307 W 52nd St Chicago, IL 60609",Chicago_Ward_20,Sherman Park - Playground 1,Chicago_Park_Facility_2602,Chicago_Park_7,"c(445280.031030639, 4627678.60483943)",7362,7222
