objectid,park_no,park,facility_n,facility_t,gisobjid,Park_Name,Park_Address,ward,schema:name,schema:identifier,Chicago_Park_ID,geometry,omeka_id_community_area,dcterms:isPartOf
2967,1145,WENDT (KENNETH),Playground Park,OUTDOOR,4395,Wendt Park,"667 W Roscoe St Chicago, IL 60657",Chicago_Ward_44,Wendt Park - Playground Park,Chicago_Park_Facility_2967,Chicago_Park_1145,"c(446357.645945066, 4643689.68585584)",7348,7300
2976,238,WENTWORTH (JOHN),Playground,OUTDOOR,4404,Wentworth Park,"5625 S Mobile Ave Chicago, IL 60638",Chicago_Ward_13,Wentworth Park - Playground,Chicago_Park_Facility_2976,Chicago_Park_238,"c(435225.129664133, 4626637.66602197)",7358,7221
2987,286,WENTWORTH (JOHN) GARDENS,Playground,OUTDOOR,4415,Wentworth Gardens Park,"3770 S Wentworth Ave Chicago, IL 60609",Chicago_Ward_3,Wentworth Gardens Park - Playground,Chicago_Park_Facility_2987,Chicago_Park_286,"c(447527.020945721, 4630603.15404604)",7338,7212
2989,1080,WESOLEK (MARLENE),Playground,OUTDOOR,4417,Wesolek Park,"13407 S Avenue M Chicago, IL 60633",Chicago_Ward_10,Wesolek Park - Playground,Chicago_Park_Facility_2989,Chicago_Park_1080,"c(455266.567296157, 4611232.65498011)",7357,7233
2994,249,WEST CHATHAM,Playground,OUTDOOR,4422,West Chatham Park,"8223 S Princeton Ave Chicago, IL 60620",Chicago_Ward_21,West Chatham Park - Playground,Chicago_Park_Facility_2994,Chicago_Park_249,"c(447503.97581115, 4621699.63256573)",7343,7264
3006,245,WEST LAWN,Playground,OUTDOOR,4434,West Lawn Park,"4233 W 65th St Chicago, IL 60629",Chicago_Ward_13,West Lawn Park - Playground,Chicago_Park_Facility_3006,Chicago_Park_245,"c(439353.527315148, 4624996.17142623)",7366,7291
3017,225,WEST PULLMAN,Playground,OUTDOOR,4445,West Pullman Park,"401 W 123rd St Chicago, IL 60628",Chicago_Ward_34,West Pullman Park - Playground,Chicago_Park_Facility_3017,Chicago_Park_225,"c(447460.536097866, 4613374.09739889)",7355,7220
3025,1165,WESTERN,Playground Park,OUTDOOR,4453,Western Park,"907 N Western Ave Chicago, IL 60622",Chicago_Ward_1,Western Park - Playground Park,Chicago_Park_Facility_3025,Chicago_Park_1165,"c(443049.766475862, 4638679.0042603)",7328,7293
3033,379,WHITE (EDWARD),Playground,OUTDOOR,4461,White (Edward) Park,"1120 W 122nd St Chicago, IL 60643",Chicago_Ward_34,White (Edward) Park - Playground,Chicago_Park_Facility_3033,Chicago_Park_379,"c(445907.173106491, 4613660.19408447)",7355,7220
3040,1043,WHITE (WILLYE B.),Playground,OUTDOOR,4468,White (Willye) Park,"7631 N Ashland Ave Chicago, IL 60626",Chicago_Ward_49,White (Willye) Park - Playground,Chicago_Park_Facility_3040,Chicago_Park_1043,"c(444453.989548995, 4652237.95206502)",7313,7252
3048,214,"WICKER (CHARLES, JOEL)",Playground,OUTDOOR,4476,Wicker Park,"1425 N Damen Ave Chicago, IL 60622",Chicago_Ward_1,Wicker Park - Playground,Chicago_Park_Facility_3048,Chicago_Park_214,"c(443874.973994573, 4639815.0781239)",7328,7292
3050,449,WIEBOLDT (WILLIAM),Playground Park,OUTDOOR,4478,Wieboldt Park,"1747 W Nelson St Chicago, IL 60657",Chicago_Ward_32,Wieboldt Park - Playground Park,Chicago_Park_Facility_3050,Chicago_Park_449,"c(444215.412096448, 4642954.0474632)",7348,7238
3057,257,WILDWOOD,Playground,OUTDOOR,4485,Wildwood Park,"6950 N Hiawatha Ave Chicago, IL 60646",Chicago_Ward_3,Wildwood Park - Playground,Chicago_Park_Facility_3057,Chicago_Park_257,"c(435452.572611976, 4650902.136518)",7315,7254
4536,532,"WILLIAMS-DAVIS (HATTIE KAY,IZORA)",Playground,OUTDOOR,5666,Williams- Davis Park,"4101 S. Lake Park Ave Chicago, IL 60653",Chicago_Ward_4,Williams- Davis Park - Playground,Chicago_Park_Facility_4536,Chicago_Park_532,"c(450192.746106909, 4629992.95056545)",7305,7242
3066,261,WILLIAMS (DANIEL HALE),Playground,OUTDOOR,4494,Williams Park,"2820 S State St Chicago, IL 60616",Chicago_Ward_2,Williams Park - Playground,Chicago_Park_Facility_3066,Chicago_Park_261,"c(447740.322851387, 4632632.87388446)",7304,7235
3073,145,WILSON (FRANK),Playground,OUTDOOR,4501,Wilson (Frank) Park,"4630 N Milwaukee Ave Chicago, IL 60630",Chicago_Ward_45,Wilson (Frank) Park - Playground,Chicago_Park_Facility_3073,Chicago_Park_145,"c(437108.112378454, 4646144.86158843)",7318,7248
3080,1071,WILSON (JOHN),Playground,OUTDOOR,4508,Wilson (John) Park,"1122 W 34th Pl Chicago, IL 60608",Chicago_Ward_11,Wilson (John) Park - Playground,Chicago_Park_Facility_3080,Chicago_Park_1071,"c(445673.65015292, 4631311.92065677)",7361,7287
3088,486,WINNEMAC,Playground,OUTDOOR,4516,Winnemac Park,"5001 N Leavitt St Chicago, IL 60625",Chicago_Ward_40,Winnemac Park - Playground,Chicago_Park_Facility_3088,Chicago_Park_486,"c(443341.406707906, 4646975.05638348)",7309,7241
3092,403,WOLCOTT (ALEXANDER),Playground Park,OUTDOOR,4520,Wolcott Park,"6551 S Wolcott Ave Chicago, IL 60636",Chicago_Ward_15,Wolcott Park - Playground Park,Chicago_Park_Facility_3092,Chicago_Park_403,"c(444233.985139879, 4624927.42903457)",7368,7223
3098,1072,WOLFE (RICHARD),Playground,OUTDOOR,4526,Wolfe Park,"3325 E 108th St Chicago, IL 60617",Chicago_Ward_10,Wolfe Park - Playground,Chicago_Park_Facility_3098,Chicago_Park_1072,"c(454829.186583913, 4616470.7972826)",7354,7219
3100,316,WOOD (ELIZABETH),Playground,OUTDOOR,4528,Wood Park,"2914 N Leavitt St Chicago, IL 60618",Chicago_Ward_32,Wood Park - Playground,Chicago_Park_Facility_3100,Chicago_Park_316,"c(443345.731949238, 4642752.16800187)",7351,7267
3103,1073,WOODHULL (ROSS),Playground,OUTDOOR,4531,Woodhull Park,"7340 S East End Ave Chicago, IL 60649",Chicago_Ward_8,Woodhull Park - Playground,Chicago_Park_Facility_3103,Chicago_Park_1073,"c(451454.309837008, 4623542.69711482)",7342,7263
3111,1074,WRIGHTWOOD,Playground,OUTDOOR,4539,Wrightwood Park,"2534 N Greenview Ave Chicago, IL 60614",Chicago_Ward_32,Wrightwood Park - Playground,Chicago_Park_Facility_3111,Chicago_Park_1074,"c(444750.370180231, 4642063.13358706)",7371,7239
3114,1107,ZATTERBERG (HELEN),Playground Park,OUTDOOR,4542,Zatterberg Park,"4246 N Hermitage Ave Chicago, IL 60613",Chicago_Ward_47,Zatterberg Park - Playground Park,Chicago_Park_Facility_3114,Chicago_Park_1107,"c(444237.224418989, 4645473.96573921)",7348,7238
