schema:longitude,schema:latitude,schema:address,schema:name,schema:identifier,schema:addressLocality,schema:name...18,schema:containedInPlace,schema:name...17
-87.59291698250061,41.79191236092487,"5641 S Kenwood Ave Chicago, IL 60637",Bixler Park - Playground Park,Chicago_Park_Facility_216,1866,Ward 5,2384,Bixler Park
-87.75178757311681,41.923168956634306,"2318 N Lavergne Ave Chicago, IL 60639",Blackhawk Park - Playground,Chicago_Park_Facility_225,1892,Ward 36,1977,Blackhawk Park
-87.67109004335045,41.68443019223897,"1800 W 115th St Chicago, IL 60643",Blackwelder Park - Playground,Chicago_Park_Facility_235,1859,Ward 34,2143,Blackwelder Park
-87.71968328753205,41.745588633995325,"3939 W 79th St Chicago, IL 60652",Bogan Park - Playground,Chicago_Park_Facility_244,1875,Ward 18,2068,Bogan Park
-87.71770211531354,41.8700062722125,"3601 W Arthington St Chicago, IL 60624",Boler Park - Playground,Chicago_Park_Facility_249,1864,Ward 24,2233,Boler Park
-87.65341768190588,41.838623472600084,"3044 S Bonfield St Chicago, IL 60608",Bosley Park - Playground,Chicago_Park_Facility_254,1881,Ward 11,2331,Bosley Park
-87.59879935449628,41.773747066966436,"6646 S University Ave Chicago, IL 60637",Boswell Park - Playground Park,Chicago_Park_Facility_256,1866,Ward 5,2121,Boswell Park
-87.56431291697673,41.71824601803285,"9729 S Yates Ave Chicago, IL 60617",Bradley Park - Playground,Chicago_Park_Facility_261,1891,Ward 10,2314,Bradley Park
-87.65523656398388,41.72771377034492,"1246 W 92nd St Chicago, IL 60620",Brainerd Park - Playground,Chicago_Park_Facility_271,1878,Ward 21,2004,Brainerd Park
-87.70018998434615,41.94095804299821,"3285 N Elston Ave Chicago, IL 60618",Brands Park - Playground,Chicago_Park_Facility_283,1858,Ward 33,2009,Brands Park
-87.69818844595399,41.82922854382837,"3501 S Richmond St Chicago, IL 60632",Brighton Park - Playground,Chicago_Park_Facility_288,1871,Ward 12,2184,Brighton Park
-87.660379734871,41.98011856409288,"5400 N Broadway Chicago, IL 60640",Bromann Park - Playground Park,Chicago_Park_Facility_292,1872,Ward 48,2193,Bromann Park
-87.66061892387992,41.96289762403686,"4437 N Magnolia Ave Chicago, IL 60640",Broncho Billy Park - Playground,Chicago_Park_Facility_294,1860,Ward 46,2227,Broncho Billy Park
-87.59996872263955,41.812075041221775,"4542 S Greenwood Ave Chicago, IL 60653",Brooks (Gwendolyn) Park - Playground,Chicago_Park_Facility_296,1882,Ward 4,2134,Brooks (Gwendolyn) Park
-87.80733302726635,42.009584878676336,"7046 N Harlem Ave Chicago, IL 60631",Brooks (Oscar) Park - Playground,Chicago_Park_Facility_304,1865,Ward 41,1947,Brooks (Oscar) Park
-87.6088900479562,41.74001613865705,"644 E 86th St Chicago, IL 60619",Brown Memorial Park - Playground,Chicago_Park_Facility_311,1902,Ward 6,2088,Brown Memorial Park
-87.72886854698996,41.98399953550289,"5640 N Pulaski Rd Chicago, IL 60646",Brynford Park - Playground Park,Chicago_Park_Facility_315,1899,Ward 39,2428,Brynford Park
-87.65662236329518,41.958406499441274,"1049  W Buena Chicago, IL 60613",Buena Circle Park - Playground Park,Chicago_Park_Facility_318,1860,Ward 46,2385,Buena Circle Park
-87.61473674461963,41.86464384427293,"425 E Mcfetridge Dr Chicago, IL 60616",Burnham Park - Playground 1,Chicago_Park_Facility_327,NA,NA,1931,Burnham Park
-87.60654778307405,41.83767172587917,"425 E Mcfetridge Dr Chicago, IL 60616",Burnham Park - Playground 2,Chicago_Park_Facility_328,NA,NA,1931,Burnham Park
-87.5943682478198,41.816991625423924,"425 E Mcfetridge Dr Chicago, IL 60616",Burnham Park - Playground 3,Chicago_Park_Facility_329,NA,NA,1931,Burnham Park
-87.58950019169748,41.80982259705209,"425 E Mcfetridge Dr Chicago, IL 60616",Burnham Park - Playground 4,Chicago_Park_Facility_330,NA,NA,1931,Burnham Park
-87.58027899602317,41.796846909599736,"425 E Mcfetridge Dr Chicago, IL 60616",Burnham Park - Playground 5,Chicago_Park_Facility_331,NA,NA,1931,Burnham Park
-87.59766450815766,41.72480144968483,"9400 S Greenwood Ave Chicago, IL 60619",Burnside Park - Playground,Chicago_Park_Facility_337,1907,Ward 8,2135,Burnside Park
-87.65442542307936,41.971883217960446,"4913 N Sheridan Rd Chicago, IL 60640",Buttercup Park - Playground,Chicago_Park_Facility_339,1872,Ward 48,2150,Buttercup Park
-87.59712202574089,41.79860996087562,"5324 S Woodlawn Ave Chicago, IL 60615",Butternut Park - Playground Park,Chicago_Park_Facility_340,1866,Ward 5,2488,Butternut Park
-87.69772065394037,41.95030660163343,"3843 N California Ave Chicago, IL 60618",California Park - Playground,Chicago_Park_Facility_346,1858,Ward 33,2011,California Park
