schema:longitude,schema:latitude,schema:address,schema:name,schema:addressLocality,schema:name...18,schema:containedInPlace,schema:name...17,schema:identifier
-87.65538916399483,41.68778536599891,"11250 S Ada St Chicago, IL 60643",Ada Park - Basketball Court 1,1859,Ward 34,1938,Ada Park,Chicago_Park_Facility_19
-87.65512832387725,41.68778382699528,"11250 S Ada St Chicago, IL 60643",Ada Park - Basketball Court 2,1859,Ward 34,1938,Ada Park,Chicago_Park_Facility_20
-87.6558716451107,41.68831538811085,"11250 S Ada St Chicago, IL 60643",Ada Park - Boxing Center,1859,Ward 34,1938,Ada Park,Chicago_Park_Facility_17981
-87.65614908095112,41.68813314862124,"11250 S Ada St Chicago, IL 60643",Ada Park - Fitness Center,1859,Ward 34,1938,Ada Park,Chicago_Park_Facility_22
-87.65382714289656,41.68851844972111,"11250 S Ada St Chicago, IL 60643",Ada Park - Football/Soccer Combo Fld,1859,Ward 34,1938,Ada Park,Chicago_Park_Facility_21
-87.65597963373676,41.68822811424684,"11250 S Ada St Chicago, IL 60643",Ada Park - Gymnasium,1859,Ward 34,1938,Ada Park,Chicago_Park_Facility_23
-87.65658850437744,41.688172718883315,"11250 S Ada St Chicago, IL 60643",Ada Park - Horseshoe Court 1,1859,Ward 34,1938,Ada Park,Chicago_Park_Facility_3139
-87.65658729354182,41.68814200911243,"11250 S Ada St Chicago, IL 60643",Ada Park - Horseshoe Court 2,1859,Ward 34,1938,Ada Park,Chicago_Park_Facility_3183
-87.65519740258068,41.689050058488874,"11250 S Ada St Chicago, IL 60643",Ada Park - Playground,1859,Ward 34,1938,Ada Park,Chicago_Park_Facility_27
-87.65607419100785,41.6885766854841,"11250 S Ada St Chicago, IL 60643",Ada Park - Pool (Outdoor),1859,Ward 34,1938,Ada Park,Chicago_Park_Facility_26
-87.65583923916014,41.688724523570606,"11250 S Ada St Chicago, IL 60643",Ada Park - Spray Feature,1859,Ward 34,1938,Ada Park,Chicago_Park_Facility_28
-87.65658331742875,41.68781298663459,"11250 S Ada St Chicago, IL 60643",Ada Park - Tennis Court 1,1859,Ward 34,1938,Ada Park,Chicago_Park_Facility_31
-87.65640484857381,41.68781193555468,"11250 S Ada St Chicago, IL 60643",Ada Park - Tennis Court 2,1859,Ward 34,1938,Ada Park,Chicago_Park_Facility_32
-87.65622632577575,41.68781602949856,"11250 S Ada St Chicago, IL 60643",Ada Park - Tennis Court 3,1859,Ward 34,1938,Ada Park,Chicago_Park_Facility_33
